column_name,data_type,is_nullable,character_maximum_length,column_default
id,bigint,NO,null,null
account_name,text,YES,null,null
website,text,YES,null,null
website_company_name,text,YES,null,null
website_company_name_abbreviated,text,YES,null,null
website_address,text,YES,null,null
website_street,text,YES,null,null
website_city,text,YES,null,null
website_state,text,YES,null,null
website_zip_code,text,YES,null,null
website_country,text,YES,null,null
website_full_company_msa,text,YES,null,null
website_company_msa,text,YES,null,null
website_region,text,YES,null,null
website_office_phone,text,YES,null,null
website_contacts,text,YES,null,null
website_locations,integer,YES,null,null
website_year_founded,integer,YES,null,null
website_employees,integer,YES,null,null
website_designations,text,YES,null,null
website_could_not_access,boolean,YES,null,null
website_notes,text,YES,null,null
linkedin_possible_1,text,YES,null,null
linkedin_possible_2,text,YES,null,null
linkedin_url,text,YES,null,null
linkedin_company_name,text,YES,null,null
linkedin_overview,text,YES,null,null
linkedin_followers,integer,YES,null,null
linkedin_phone,text,YES,null,null
linkedin_industry,text,YES,null,null
linkedin_employee_estimate,text,YES,null,null
linkedin_members,integer,YES,null,null
linkedin_headquarters,text,YES,null,null
linkedin_founded_year,integer,YES,null,null
linkedin_specialties,text,YES,null,null
linkedin_contacts,text,YES,null,null
linkedin_locations,text,YES,null,null
linkedin_primary_location,text,YES,null,null
linkedin_street,text,YES,null,null
linkedin_city,text,YES,null,null
linkedin_state,text,YES,null,null
linkedin_zip_code,text,YES,null,null
linkedin_country,text,YES,null,null
linkedin_full_company_msa,text,YES,null,null
linkedin_company_msa,text,YES,null,null
linkedin_region,text,YES,null,null
linkedin_notes,text,YES,null,null
linkedin_unclaimed_page,boolean,YES,null,null
linkedin_could_not_access,boolean,YES,null,null
federalpay_ppp_link,text,YES,null,null
ppp_company_name,text,YES,null,null
ppp_jobs_retained,integer,YES,null,null
ppp_total_loan_size,numeric,YES,null,null
ppp_loan_size_1,numeric,YES,null,null
ppp_loan_payroll_amount_1,numeric,YES,null,null
ppp_loan_size_2,numeric,YES,null,null
ppp_loan_payroll_amount_2,numeric,YES,null,null
ppp_address,text,YES,null,null
ppp_street,text,YES,null,null
ppp_city,text,YES,null,null
ppp_state,text,YES,null,null
ppp_zip_code,text,YES,null,null
ppp_country,text,YES,null,null
ppp_full_company_msa,text,YES,null,null
ppp_company_msa,text,YES,null,null
ppp_region,text,YES,null,null
ppp_business_demographics,text,YES,null,null
ppp_naics_code,text,YES,null,null
ppp_business_owner_demographics,text,YES,null,null
ppp_notes,text,YES,null,null
ppp_could_not_access,boolean,YES,null,null
google_business_page_url,text,YES,null,null
google_company_name,text,YES,null,null
google_reviews,integer,YES,null,null
google_rating,numeric,YES,null,null
google_address,text,YES,null,null
google_business_street,text,YES,null,null
google_business_city,text,YES,null,null
google_business_state,text,YES,null,null
google_business_zip_code,text,YES,null,null
google_business_country,text,YES,null,null
google_business_full_company_msa,text,YES,null,null
google_business_company_msa,text,YES,null,null
google_business_region,text,YES,null,null
google_phone,text,YES,null,null
google_business_notes,text,YES,null,null
google_could_not_access,boolean,YES,null,null
bbb_link_url,text,YES,null,null
bbb_company_name,text,YES,null,null
bbb_business_started,date,YES,null,null
bbb_type_of_entity,text,YES,null,null
bbb_alternate_names,text,YES,null,null
bbb_address,text,YES,null,null
bbb_street,text,YES,null,null
bbb_city,text,YES,null,null
bbb_state,text,YES,null,null
bbb_zip_code,text,YES,null,null
bbb_country,text,YES,null,null
bbb_full_company_msa,text,YES,null,null
bbb_company_msa,text,YES,null,null
bbb_region,text,YES,null,null
bbb_customer_contacts,text,YES,null,null
bbb_notes,text,YES,null,null
bbb_accredited,boolean,YES,null,null
bbb_could_not_access,boolean,YES,null,null
sos_company_name,text,YES,null,null
sos_fictitious_names,text,YES,null,null
sos_filing_type,text,YES,null,null
sos_agent_address,text,YES,null,null
sos_agent_street,text,YES,null,null
sos_agent_city,text,YES,null,null
sos_agent_state,text,YES,null,null
sos_agent_zip_code,text,YES,null,null
sos_agent_country,text,YES,null,null
sos_agent_full_company_msa,text,YES,null,null
sos_agent_company_msa,text,YES,null,null
sos_agent_region,text,YES,null,null
sos_principal_address,text,YES,null,null
sos_principal_street,text,YES,null,null
sos_principal_city,text,YES,null,null
sos_principal_state,text,YES,null,null
sos_principal_zip_code,text,YES,null,null
sos_principal_country,text,YES,null,null
sos_principal_full_company_msa,text,YES,null,null
sos_principal_company_msa,text,YES,null,null
sos_principal_region,text,YES,null,null
sos_registered_agent,text,YES,null,null
sos_officers,text,YES,null,null
sos_year_founded,integer,YES,null,null
sos_notes,text,YES,null,null
sos_could_not_access,boolean,YES,null,null
location_primary,text,YES,null,null
source_primary,text,YES,null,null
location_secondary,text,YES,null,null
source_secondary,text,YES,null,null
location_tertiary,text,YES,null,null
source_tertiary,text,YES,null,null
created_at,timestamp with time zone,YES,null,now()
website_company_abbreviated,text,YES,null,null
bbb_url,text,YES,null,null
federalpay_ppp_url,text,YES,null,null
location_fourth,text,YES,null,null
source_fourth,text,YES,null,null
annual_revenue,text,YES,null,null
email,text,YES,null,null
contact_on_website,text,YES,null,null
title,text,YES,null,null